"Hospital_CityCod","Hospital_City","Hospital_State","Hospital_CityLat","Hospital_CityLon","Hospital_CityAlt","Hospital_CityArea"
0,"Unknown or Foreign","",NA,NA,NA,NA
110000,"Unknown","Rondonia",NA,NA,NA,NA
110001,"Alta Floresta D'Oeste","Rondonia",-11.93554,-61.99982,338,7067.025
110002,"Ariquemes","Rondonia",-9.90846,-63.03327,139,4426.571
110003,"Cabixi","Rondonia",-13.49976,-60.54431,236,1314.352
110004,"Cacoal","Rondonia",-11.43387,-61.44294,177,3792.998
110005,"Cerejeiras","Rondonia",-13.19503,-60.81843,263,2783.3
110006,"Colorado do Oeste","Rondonia",-13.13056,-60.55507,419,1451.06
110007,"Corumbiara","Rondonia",-12.99752,-60.9487,269,3060.321
110008,"Costa Marques","Rondonia",-12.43601,-64.23165,145,4987.177
110009,"Espigao D'Oeste","Rondonia",-11.52855,-61.02017,263,4518.035
110010,"Guajara-Mirim","Rondonia",-10.77388,-65.32395,133,24855.724
110011,"Jaru","Rondonia",-10.43595,-62.47623,163,2944.128
110012,"Ji-Parana","Rondonia",-10.88205,-61.94509,157,6896.648
110013,"Machadinho D'Oeste","Rondonia",-9.42556,-61.99959,144,8509.27
110014,"Nova Brasilandia D'Oeste","Rondonia",-11.72133,-62.30823,259,1703.008
110015,"Ouro Preto do Oeste","Rondonia",-10.72357,-62.26106,252,1969.85
110018,"Pimenta Bueno","Rondonia",-11.67754,-61.18367,186,6240.932
110020,"Porto Velho","Rondonia",-8.76889,-63.83145,87,34096.394
110025,"Presidente Medici","Rondonia",-11.17321,-61.90944,178,1758.465
110026,"Rio Crespo","Rondonia",-9.70554,-62.90001,124,1717.64
110028,"Rolim de Moura","Rondonia",-11.72226,-61.78578,227,1457.888
110029,"Santa Luzia D'Oeste","Rondonia",-11.90842,-61.77331,265,1197.796
110030,"Vilhena","Rondonia",-12.74137,-60.13858,595,11518.915
110032,"Sao Miguel do Guapore","Rondonia",-11.69949,-62.72006,191,7460.219
110033,"Nova Mamore","Rondonia",-10.41177,-65.32915,151,10071.643
110034,"Alvorada D'Oeste","Rondonia",-11.34413,-62.27727,182,3029.189
110037,"Alto Alegre dos Parecis","Rondonia",-12.13178,-61.85308,397,3958.273
110040,"Alto Paraiso","Rondonia",-9.71667,-63.31763,128,2651.822
110045,"Buritis","Rondonia",-10.20981,-63.82968,153,3265.809
110050,"Novo Horizonte do Oeste","Rondonia",-11.70974,-61.99439,230,843.446
110060,"Cacaulandia","Rondonia",-10.33887,-62.90319,161,1961.778
110070,"Campo Novo de Rondonia","Rondonia",-10.56842,-63.62499,206,3442.005
110080,"Candeias do Jamari","Rondonia",-8.78502,-63.70002,85,6843.868
110090,"Castanheiras","Rondonia",-11.42684,-61.94916,215,892.842
110092,"Chupinguaia","Rondonia",-12.55684,-60.90185,340,5126.723
110094,"Cujubim","Rondonia",-9.37819,-62.58717,111,3863.943
110100,"Governador Jorge Teixeira","Rondonia",-10.61207,-62.74046,202,5067.384
110110,"Itapua do Oeste","Rondonia",-9.19187,-63.18234,99,4081.583
110120,"Ministro Andreazza","Rondonia",-11.19624,-61.51892,266,798.083
110130,"Mirante da Serra","Rondonia",-11.04561,-62.66943,212,1191.875
110140,"Monte Negro","Rondonia",-10.2631,-63.29556,155,1931.378
110143,"Nova Uniao","Rondonia",-10.91553,-62.55509,241,807.126
110145,"Parecis","Rondonia",-12.17983,-61.598,296,2548.683
110146,"Pimenteiras do Oeste","Rondonia",-13.47656,-61.04438,170,6014.733
110147,"Primavera de Rondonia","Rondonia",-11.82571,-61.31655,245,605.692
110148,"Sao Felipe D'Oeste","Rondonia",-11.91439,-61.51251,270,541.647
110149,"Sao Francisco do Guapore","Rondonia",-12.0638,-63.57086,166,10959.767
110150,"Seringueiras","Rondonia",-11.76712,-63.03876,186,3773.505
110155,"Teixeiropolis","Rondonia",-10.93217,-62.25592,191,459.978
110160,"Theobroma","Rondonia",-10.24873,-62.34515,192,2197.413
110170,"Urupa","Rondonia",-11.12855,-62.37063,197,831.857
110175,"Vale do Anari","Rondonia",-9.85139,-62.17682,158,3135.106
110180,"Vale do Paraiso","Rondonia",-10.43105,-62.13439,154,965.676
120000,"Unknown","Acre",NA,NA,NA,NA
120001,"Acrelandia","Acre",-10.07379,-67.05232,206,1807.957
120005,"Assis Brasil","Acre",-10.94287,-69.56346,235,4974.176
120010,"Brasileia","Acre",-11.01641,-68.74794,188,3916.495
120013,"Bujari","Acre",-9.82002,-67.95186,198,3034.869
120017,"Capixaba","Acre",-10.56977,-67.67351,212,1702.577
120020,"Cruzeiro do Sul","Acre",-7.63069,-72.67253,183,8779.438
120025,"Epitaciolandia","Acre",-11.02824,-68.74487,206,1654.768
120030,"Feijo","Acre",-8.16025,-70.35398,160,27975.439
120032,"Jordao","Acre",-9.19336,-71.95088,265,5357.282
120033,"Mancio Lima","Acre",-7.59322,-72.9165,187,5453.005
120034,"Manoel Urbano","Acre",-8.83632,-69.25994,162,10633.137
120035,"Marechal Thaumaturgo","Acre",-8.95359,-72.79027,215,8191.693
